config-benchmark,GT.Leakage,GT.Dynamic,GT.Total,McPAT-7nm.Leakage,McPAT-7nm.Dynamic,McPAT-7nm.Total,ML.Leakage,ML-Shuffle.Dynamic,ML-Shuffle.Total,ML-Config.Dynamic,ML-Config.Total,ML-Benchmark.Dynamic,ML-Benchmark.Total
GigaBoomProConfig-fft.riscv,7.55,38.97,46.52,4.07468,29.7613,33.83598,7.0904743089176865,37.382537841796875,44.47301215071456,35.57080078125,42.661275090167685,35.048038482666016,42.1385127915837
GigaBoomProConfig-fibonacci.riscv,7.41,40.61,48.02,4.07468,46.3552,50.42988,7.0904743089176865,39.88145065307617,46.97192496199386,33.92911911010742,41.01959341902511,43.12005615234375,50.210530461261435
GigaBoomProConfig-fir2dim.riscv,7.35,31.99,39.34,4.07468,40.2955,44.37018,7.0904743089176865,32.23370361328125,39.324177922198935,29.93612289428711,37.026597203204794,31.195301055908203,38.28577536482589
GigaBoomProConfig-fmref.riscv,7.6,45.07,52.67,4.07468,33.1095,37.18418,7.0904743089176865,43.164730072021484,50.25520438093917,41.81309127807617,48.90356558699386,35.38460922241211,42.475083531329794
GigaBoomProConfig-frac.riscv,7.42,34.98,42.4,4.07468,37.7159,41.79058,7.0904743089176865,33.581298828125,40.671773137042685,32.6025390625,39.693013371417685,32.67326736450195,39.76374167341964
GigaBoomProConfig-h264_dec.riscv,7.42,41.41,48.83,4.07468,46.1936,50.26828,7.0904743089176865,40.36296844482422,47.4534427537419,38.60710525512695,45.69757956404464,40.55768585205078,47.648160160968466
GigaBoomProConfig-hello_world.riscv,7.52,44.77,52.29,4.07468,47.057,51.13168,7.0904743089176865,42.6746940612793,49.76516837019698,41.05418014526367,48.14465445418136,37.368446350097656,44.45892065901534
GigaBoomProConfig-hello_world_large.riscv,7.51,43.87,51.38,4.07468,48.7141,52.78878,7.0904743089176865,44.49152755737305,51.58200186629073,41.942657470703125,49.03313177962081,42.317657470703125,49.40813177962081
GigaBoomProConfig-huff_dec.riscv,7.48,46.06,53.54,4.07468,53.4427,57.51738,7.0904743089176865,45.45765686035156,52.54813116926925,43.47029495239258,50.56076926131026,44.082130432128906,51.17260474104659
GigaBoomProConfig-iir.riscv,7.33,30.43,37.76,4.07468,32.1415,36.21618,7.0904743089176865,30.466100692749023,37.55657500166671,28.619882583618164,35.71035689253585,29.987546920776367,37.07802122969405
GigaBoomProConfig-insertsort.riscv,7.33,30.39,37.72,4.07468,32.3342,36.40888,7.0904743089176865,30.778596878051758,37.86907118696944,28.491558074951172,35.58203238386886,30.394899368286133,37.48537367720382
GigaBoomProConfig-jfdctint.riscv,7.34,30.9,38.24,4.07468,26.6583,30.73298,7.0904743089176865,30.813085556030273,37.90355986494796,28.9207706451416,36.011244954059286,31.514610290527344,38.60508459944503
